ACT,ACTED,0,11.187,
ARCH,ARCHED,0,8.222,
ASK,ASKED,0,11.839,
BACK,BACKED,0,12.882,
BAG,BAGGED,0,9.707,
BAIL,BAILED,0,7.857,
BAIT,BAITED,0,8.364,
BAKE,BAKED,0,7.835,
BALK,BALKED,0,5.656,
BAN,BANNED,0,9.371,
BANG,BANGED,0,8.823,
BASH,BASHED,0,8.449,
BAT,BATTED,0,8.775,
BATHE,BATHED,0,6.507,
BAWL,BAWLED,0,4.19,
BEAM,BEAMED,0,8.972,
BEAT,BEAT,1,10.407,
BEG,BEGGED,0,8.43,
BET,BET,1,10.306,
BID,BADE,1,11.712,
BIKE,BIKED,0,10.022,
BITE,BIT,1,9.007,
BLOW,BLEW,1,9.736,
BLUR,BLURRED,0,7.395,
BOIL,BOILED,0,8.252,
BOMB,BOMBED,0,9.641,
BOOK,BOOKED,0,12.16,
BOOT,BOOTED,0,10.689,
BOSS,BOSSED,0,9.211,
BOWL,BOWLED,0,9.28,
BUCK,BUCKED,0,8.824,
BUDGE,BUDGED,0,6.232,
BURN,BURNED,0,9.433,
BUZZ,BUZZED,0,8.228,
CALL,CALLED,0,12.397,
CAN,CANNED,0,14.301,
CATCH,CAUGHT,1,10.025,
CEASE,CEASED,0,8.267,
CHEER,CHEERED,0,7.552,
CHOOSE,CHOSE,1,10.813,
CITE,CITED,0,8.724,
CLAW,CLAWED,0,7.693,
COAT,COATED,0,9.239,
COCK,COCKED,0,10.057,
COIN,COINED,0,8.76,
COMB,COMBED,0,7.386,
COME,CAME,1,12.355,
CON,CONNED,0,10.68,
COOK,COOKED,0,9.514,
COOL,COOLED,0,10.811,
COP,COPPED,0,9.319,
COPE,COPED,0,8.24,
COUGH,COUGHED,0,7.703,
CRY,CRIED,0,9.492,
CUFF,CUFFED,0,6.727,
CUP,CUPPED,0,10.233,
CURB,CURBED,0,7.622,
CURL,CURLED,0,7.12,
CURSE,CURSED,0,8.947,
CUT,CUT,1,11.504,
